lake_id,classic.group,Target_taxon,biovol,Survey,total.biov
04-574,GREEN ALGAE,Monoraphidium,0.18042871,Lake Pulse,929.9127819
04-574,CHRYSOPHYTES,Ochromonas,21.6213717,Lake Pulse,929.9127819
04-574,GREEN ALGAE,Oocystis,6.40856031,Lake Pulse,929.9127819
04-574,DINOFLAGELLATES,Peridinium,21.65144,Lake Pulse,929.9127819
04-574,CHRYSOPHYTES,Pseudokephyrion,0.1804287,Lake Pulse,929.9127819
04-574,CRYPTOPHYTES,Rhodomonas,16.03811,Lake Pulse,929.9127819
04-574,GREEN ALGAE,Tetradesmus,1.176128,Lake Pulse,929.9127819
04-575,DIATOMS,Achnanthidium,1.429425,Lake Pulse,717.9303446
04-575,CYANOBACTERIA,Aphanocapsa,63.88513,Lake Pulse,717.9303446
04-575,DINOFLAGELLATES,Biecheleria,5.954147,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Bitrichia,3.742225,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Chlorolobion,4.059646,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Chrysosphaerella,15.15601,Lake Pulse,717.9303446
04-575,CRYPTOPHYTES,Cryptomonas,158.86412,Lake Pulse,717.9303446
04-575,DIATOMS,Cyclotella,2.165144,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Desmodesmus,1.069207,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Dinobryon,48.5152721,Lake Pulse,717.9303446
04-575,CYANOBACTERIA,Dolichospermum,68.42925,Lake Pulse,717.9303446
04-575,CRYPTOPHYTES,Katablepharis,3.528384,Lake Pulse,717.9303446
04-575,CYANOBACTERIA,Merismopedia,93.2348557,Lake Pulse,717.9303446
04-575,CYANOBACTERIA,Microcystis,0.9622864,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Monoraphidium,0.7417624,Lake Pulse,717.9303446
04-575,DIATOMS,Navicula,4.492477,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Ochromonas,54.796866,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Oocystis,12.2424218,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Pseudokephyrion,9.729785,Lake Pulse,717.9303446
04-575,CRYPTOPHYTES,Rhodomonas,150.3573,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Scenedesmus,2.886859,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Tetradesmus,2.352256,Lake Pulse,717.9303446
04-575,GREEN ALGAE,Tetraedron,7.1102278,Lake Pulse,717.9303446
04-575,CHRYSOPHYTES,Uroglena,0.9622864,Lake Pulse,717.9303446
04-575,DIATOMS,Urosolenia,1.263001,Lake Pulse,717.9303446
04-576,CYANOBACTERIA,Aphanocapsa,3.635304,Lake Pulse,1773.044545
04-576,DINOFLAGELLATES,Biecheleria,2.381659,Lake Pulse,1773.044545
04-576,CRYPTOPHYTES,Cryptomonas,19.4863,Lake Pulse,1773.044545
04-576,DIATOMS,Cyclotella,4.009527,Lake Pulse,1773.044545
04-576,CYANOBACTERIA,Dolichospermum,1668.3055,Lake Pulse,1773.044545
04-576,DINOFLAGELLATES,Glenodinium,17.32116,Lake Pulse,1773.044545
04-576,GREEN ALGAE,Gloeocystis,4.618975,Lake Pulse,1773.044545
04-576,CYANOBACTERIA,Limnothrix,0.4811432,Lake Pulse,1773.044545
04-576,CYANOBACTERIA,Microcystis,0.6842926,Lake Pulse,1773.044545
04-576,DIATOMS,Nitzschia,2.389181,Lake Pulse,1773.044545
04-576,CHRYSOPHYTES,Ochromonas,30.96157,Lake Pulse,1773.044545
04-576,GREEN ALGAE,Oocystis,0.8660578,Lake Pulse,1773.044545
04-576,CRYPTOPHYTES,Rhodomonas,15.52489,Lake Pulse,1773.044545
04-576,GREEN ALGAE,Tetradesmus,0.3742225,Lake Pulse,1773.044545
04-576,CHRYSOPHYTES,Uroglena,2.004763,Lake Pulse,1773.044545
04-577,CYANOBACTERIA,Aphanizomenon,153.9658,Lake Pulse,348.0565826
04-577,GREEN ALGAE,Chlorolobion,0.9622864,Lake Pulse,348.0565826
04-577,CRYPTOPHYTES,Cryptomonas,70.705772,Lake Pulse,348.0565826
04-577,DIATOMS,Cymbella,0.3638274,Lake Pulse,348.0565826
04-577,CYANOBACTERIA,Geitlerinema,16.84001,Lake Pulse,348.0565826
04-577,CRYPTOPHYTES,Katablepharis,3.675399,Lake Pulse,348.0565826
04-577,CYANOBACTERIA,Limnothrix,7.350799,Lake Pulse,348.0565826
04-577,GREEN ALGAE,Neglectella,17.10731,Lake Pulse,348.0565826
04-577,CHRYSOPHYTES,Ochromonas,2.401261,Lake Pulse,348.0565826
04-577,CRYPTOPHYTES,Rhodomonas,73.50799,Lake Pulse,348.0565826
04-577,GREEN ALGAE,Schroederia,0.8910059,Lake Pulse,348.0565826
04-577,GREEN ALGAE,Tetraedron,0.2851219,Lake Pulse,348.0565826
04-578,CYANOBACTERIA,Aphanizomenon,769.8292,Lake Pulse,960.3819192
04-578,DIATOMS,Asterionella,21.569,Lake Pulse,960.3819192
04-578,CRYPTOPHYTES,Cryptomonas,41.057556,Lake Pulse,960.3819192
04-578,DIATOMS,Cyclotella,13.3116301,Lake Pulse,960.3819192
04-578,CHRYSOPHYTES,Dinobryon,22.8309097,Lake Pulse,960.3819192
04-578,DINOFLAGELLATES,Gymnodinium,5.412861,Lake Pulse,960.3819192
04-578,CRYPTOPHYTES,Katablepharis,0.9188498,Lake Pulse,960.3819192
04-578,GREEN ALGAE,Lemmermannia,19.4863,Lake Pulse,960.3819192
04-578,CYANOBACTERIA,Limnococcus,2.292113,Lake Pulse,960.3819192
04-578,CYANOBACTERIA,Microcystis,0.4276828,Lake Pulse,960.3819192
04-578,GREEN ALGAE,Monoraphidium,0.4945083,Lake Pulse,960.3819192
04-578,OTHER,Monosiga,0.1503572,Lake Pulse,960.3819192
04-578,DIATOMS,Nitzschia,1.722967,Lake Pulse,960.3819192
04-578,CHRYSOPHYTES,Ochromonas,10.80568,Lake Pulse,960.3819192
04-578,GREEN ALGAE,Oocystis,0.04009527,Lake Pulse,960.3819192
04-578,CHRYSOPHYTES,Pseudokephyrion,1.924573,Lake Pulse,960.3819192
04-578,CRYPTOPHYTES,Rhodomonas,16.5393,Lake Pulse,960.3819192
04-578,CHRYSOPHYTES,Synura,4.677781,Lake Pulse,960.3819192
04-578,GREEN ALGAE,Tetradesmus,1.069207,Lake Pulse,960.3819192
04-578,EUGLENOIDS,Trachelomonas,20.04763,Lake Pulse,960.3819192
04-578,GREEN ALGAE,Treubaria,5.773718,Lake Pulse,960.3819192
04-579,DINOFLAGELLATES,Apocalathium,29.40319,Lake Pulse,262.9505281
04-579,DIATOMS,Asterionella,4.08407,Lake Pulse,262.9505281
04-579,DINOFLAGELLATES,Biecheleria,8.019053,Lake Pulse,262.9505281
04-579,CHRYSOPHYTES,Chrysosphaerella,7.578006,Lake Pulse,262.9505281
04-579,GREEN ALGAE,Cosmarium,5.773718,Lake Pulse,262.9505281
04-579,CRYPTOPHYTES,Cryptomonas,28.778377,Lake Pulse,262.9505281
04-579,DIATOMS,Cyclotella,23.636162,Lake Pulse,262.9505281
04-579,CHRYSOPHYTES,Dinobryon,4.8749159,Lake Pulse,262.9505281
04-579,CYANOBACTERIA,Dolichospermum,5.132194,Lake Pulse,262.9505281
04-579,GREEN ALGAE,Elakatothrix,0.3007145,Lake Pulse,262.9505281
04-579,DIATOMS,Fragilaria,1.786781,Lake Pulse,262.9505281
04-579,DINOFLAGELLATES,Gymnodinium,61.58633,Lake Pulse,262.9505281
04-579,GREEN ALGAE,Lagerheimia,0.7217148,Lake Pulse,262.9505281
04-579,DIATOMS,Lindavia,40.09527,Lake Pulse,262.9505281
04-579,DIATOMS,Nitzschia,2.042035,Lake Pulse,262.9505281
04-579,CHRYSOPHYTES,Ochromonas,18.0980015,Lake Pulse,262.9505281
04-579,OTHER,Pedinella,5.132194,Lake Pulse,262.9505281
04-579,CRYPTOPHYTES,Rhodomonas,12.93741,Lake Pulse,262.9505281
04-579,OTHER,Stichogloea,2.75655,Lake Pulse,262.9505281
04-579,GREEN ALGAE,Tetraedron,0.2138414,Lake Pulse,262.9505281
04-580,CYANOBACTERIA,Anabaena,8.353181,Lake Pulse,2844.320221
04-580,CYANOBACTERIA,Aphanocapsa,1288.7155,Lake Pulse,2844.320221
04-580,CYANOBACTERIA,Aphanothece,12.02858,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Chlorolobion,0.1737462,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Crucigenia,1.710731,Lake Pulse,2844.320221
04-580,CRYPTOPHYTES,Cryptomonas,71.316109,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Desmodesmus,2.138414,Lake Pulse,2844.320221
04-580,CHRYSOPHYTES,Dinobryon,10.02382,Lake Pulse,2844.320221
04-580,CYANOBACTERIA,Dolichospermum,237.79162,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Elakatothrix,1.6840017,Lake Pulse,2844.320221
04-580,DIATOMS,Epithemia,89.33904,Lake Pulse,2844.320221
04-580,CYANOBACTERIA,Limnothrix,1.002382,Lake Pulse,2844.320221
04-580,CHRYSOPHYTES,Mallomonas,8.553657,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Messastrum,0.7217148,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Monoraphidium,5.73696452,Lake Pulse,2844.320221
04-580,DIATOMS,Nitzschia,7.466191,Lake Pulse,2844.320221
04-580,CHRYSOPHYTES,Ochromonas,3.9026065,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Oocystis,17.551706,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Pseudopediastrum,835.3181,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Quadrigula,7.217148,Lake Pulse,2844.320221
04-580,CRYPTOPHYTES,Rhodomonas,135.9898,Lake Pulse,2844.320221
04-580,CYANOBACTERIA,Snowella,36.08574,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Stauridium,11.54744,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Tetradesmus,1.122668,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Tetraedron,14.61473,Lake Pulse,2844.320221
04-580,GREEN ALGAE,Willea,34.21463,Lake Pulse,2844.320221
04-581,CYANOBACTERIA,Aphanizomenon,140.7344,Lake Pulse,1499.263434
04-581,CYANOBACTERIA,Aphanocapsa,6.856291,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Chlorolobion,0.1871112,Lake Pulse,1499.263434
04-581,CRYPTOPHYTES,Cryptomonas,117.37889,Lake Pulse,1499.263434
04-581,DIATOMS,Cyclotella,30.07145,Lake Pulse,1499.263434
04-581,CHRYSOPHYTES,Dinobryon,2.779938,Lake Pulse,1499.263434
04-581,CYANOBACTERIA,Dolichospermum,4.276828,Lake Pulse,1499.263434
04-581,DINOFLAGELLATES,Gymnodinium,32.07621,Lake Pulse,1499.263434
04-581,CYANOBACTERIA,Limnococcus,13.68585,Lake Pulse,1499.263434
04-581,CYANOBACTERIA,Limnothrix,5.011908,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Messastrum,0.3608574,Lake Pulse,1499.263434
04-581,CYANOBACTERIA,Microcystis,0.8553657,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Monoraphidium,9.352221,Lake Pulse,1499.263434
04-581,DIATOMS,Navicula,8.16814,Lake Pulse,1499.263434
04-581,DIATOMS,Nitzschia,28.6905959,Lake Pulse,1499.263434
04-581,CHRYSOPHYTES,Ochromonas,68.43594,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Oocystis,1.4434301,Lake Pulse,1499.263434
04-581,DINOFLAGELLATES,Peridinium,855.3657,Lake Pulse,1499.263434
04-581,CRYPTOPHYTES,Rhodomonas,19.99417,Lake Pulse,1499.263434
04-581,OTHER,Stichogloea,13.36509,Lake Pulse,1499.263434
04-581,CHRYSOPHYTES,Synura,9.355562,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Tetradesmus,2.619558,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Tetraedron,7.1102278,Lake Pulse,1499.263434
04-581,EUGLENOIDS,Trachelomonas,38.9726,Lake Pulse,1499.263434
04-581,GREEN ALGAE,Willea,82.1151,Lake Pulse,1499.263434
04-582,DIATOMS,Asterionella,1.361357,Lake Pulse,397.6734283
04-582,DIATOMS,Aulacoseira,20.04763,Lake Pulse,397.6734283
04-582,CRYPTOPHYTES,Cryptomonas,7.24165,Lake Pulse,397.6734283
04-582,DIATOMS,Cyclotella,3.341272,Lake Pulse,397.6734283
04-582,GREEN ALGAE,Desmodesmus,4.9183524,Lake Pulse,397.6734283
04-582,CHRYSOPHYTES,Dinobryon,0.8019053,Lake Pulse,397.6734283
04-582,CYANOBACTERIA,Dolichospermum,245.56125,Lake Pulse,397.6734283
04-582,DINOFLAGELLATES,Gymnodinium,52.39115,Lake Pulse,397.6734283
04-582,GREEN ALGAE,Lemmermannia,4.455029,Lake Pulse,397.6734283
04-582,CYANOBACTERIA,Microcystis,0.2851219,Lake Pulse,397.6734283
04-582,GREEN ALGAE,Monoraphidium,0.02673018,Lake Pulse,397.6734283
04-582,DIATOMS,Nitzschia,5.4028841,Lake Pulse,397.6734283
04-582,DINOFLAGELLATES,Parvodinium,9.1239,Lake Pulse,397.6734283
04-582,CRYPTOPHYTES,Rhodomonas,2.450266,Lake Pulse,397.6734283
04-582,DIATOMS,Surirella,40.20256,Lake Pulse,397.6734283
04-582,GREEN ALGAE,Tetradesmus,0.06237042,Lake Pulse,397.6734283
04-583,CYANOBACTERIA,Aphanizomenon,29.47002,Lake Pulse,275.9870661
04-583,DINOFLAGELLATES,Biecheleria,4.91167,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Chlamydocapsa,8.660578,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Chlamydomonas,2.138414,Lake Pulse,275.9870661
04-583,CHRYSOPHYTES,Chrysosphaerella,23.09487,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Coenochloris,64.17916,Lake Pulse,275.9870661
04-583,CRYPTOPHYTES,Cryptomonas,15.663884,Lake Pulse,275.9870661
04-583,DIATOMS,Cyclotella,3.0472401,Lake Pulse,275.9870661
04-583,CHRYSOPHYTES,Dinobryon,1.4634771,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Gloeocystis,18.3369,Lake Pulse,275.9870661
04-583,DIATOMS,Gomphonema,0.9346715,Lake Pulse,275.9870661
04-583,DINOFLAGELLATES,Gymnodinium,11.78801,Lake Pulse,275.9870661
04-583,CRYPTOPHYTES,Katablepharis,5.847227,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Lemmermannia,9.168451,Lake Pulse,275.9870661
04-583,CYANOBACTERIA,Limnococcus,2.292113,Lake Pulse,275.9870661
04-583,CYANOBACTERIA,Limnothrix,0.601429,Lake Pulse,275.9870661
04-583,CHRYSOPHYTES,Mallomonas,3.849146,Lake Pulse,275.9870661
04-583,DIATOMS,Nitzschia,1.722967,Lake Pulse,275.9870661
04-583,CHRYSOPHYTES,Ochromonas,26.19557,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Oocystis,0.09355562,Lake Pulse,275.9870661
04-583,CRYPTOPHYTES,Rhodomonas,42.10003,Lake Pulse,275.9870661
04-583,GREEN ALGAE,Spondylosium,0.4276828,Lake Pulse,275.9870661
04-609,DIATOMS,Achnanthidium,2.654646,Lake Pulse,1186.557566
04-609,CYANOBACTERIA,Aphanocapsa,247.7086,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Chlorolobion,1.49689,Lake Pulse,1186.557566
04-609,CHRYSOPHYTES,Chrysosphaerella,11.97512,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Cosmarium,26.94402,Lake Pulse,1186.557566
04-609,CRYPTOPHYTES,Cryptomonas,14.54122,Lake Pulse,1186.557566
04-609,DIATOMS,Cyclotella,14.354109,Lake Pulse,1186.557566
04-609,DIATOMS,Denticula,2.042035,Lake Pulse,1186.557566
04-609,CHRYSOPHYTES,Dinobryon,14.701601,Lake Pulse,1186.557566
04-609,DIATOMS,Fragilaria,82.70242,Lake Pulse,1186.557566
04-609,EUSTIGMATOPHYTES,Goniochloris,254.0436,Lake Pulse,1186.557566
04-609,CRYPTOPHYTES,Katablepharis,8.553657,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Lemmermannia,17.78893,Lake Pulse,1186.557566
04-609,CYANOBACTERIA,Limnothrix,44.10479,Lake Pulse,1186.557566
04-609,CYANOBACTERIA,Merismopedia,3.207621,Lake Pulse,1186.557566
04-609,CYANOBACTERIA,Microcystis,11.97512,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Monoraphidium,17.8691235,Lake Pulse,1186.557566
04-609,DIATOMS,Navicula,31.9068,Lake Pulse,1186.557566
04-609,DIATOMS,Nitzschia,39.309183,Lake Pulse,1186.557566
04-609,CHRYSOPHYTES,Ochromonas,190.906974,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Oocystis,9.4090227,Lake Pulse,1186.557566
04-609,CHRYSOPHYTES,Pseudokephyrion,4.918353,Lake Pulse,1186.557566
04-609,CYANOBACTERIA,Rhabdoderma,1.984716,Lake Pulse,1186.557566
04-609,CRYPTOPHYTES,Rhodomonas,14.11353,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Scenedesmus,5.773718,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Staurastrum,32.07621,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Tetradesmus,10.10401,Lake Pulse,1186.557566
04-609,GREEN ALGAE,Tetraedron,67.6808157,Lake Pulse,1186.557566
04-609,CHRYSOPHYTES,Uroglena,1.710731,Lake Pulse,1186.557566
04-611,CYANOBACTERIA,Aphanocapsa,632.799502,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Chlamydomonas,27.3717,Lake Pulse,3419.635991
04-611,CRYPTOPHYTES,Cryptomonas,95.80095,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Desmodesmus,3.421463,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Dictyosphaerium,2.309487,Lake Pulse,3419.635991
04-611,CYANOBACTERIA,Dolichospermum,43.79472,Lake Pulse,3419.635991
04-611,DIATOMS,Gomphonema,4.652586,Lake Pulse,3419.635991
04-611,CRYPTOPHYTES,Katablepharis,21.38414,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Kirchneriella,6.736004,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Lagerheimia,3.421463,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Lanceola,0.5559877,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Messastrum,1.069207,Lake Pulse,3419.635991
04-611,CYANOBACTERIA,Microcystis,2024.1375,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Monoraphidium,50.50934,Lake Pulse,3419.635991
04-611,OTHER,Monosiga,1.924573,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Mucidosphaerium,60.21774,Lake Pulse,3419.635991
04-611,CHRYSOPHYTES,Ochromonas,23.05211,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Oocystis,14.028001,Lake Pulse,3419.635991
04-611,CRYPTOPHYTES,Rhodomonas,391.4153,Lake Pulse,3419.635991
04-611,CYANOBACTERIA,Synechococcus,2.052878,Lake Pulse,3419.635991
04-611,GREEN ALGAE,Tetradesmus,8.981339,Lake Pulse,3419.635991
04-612,CYANOBACTERIA,Aphanocapsa,393.54838,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Aphanothece,4.811432,Lake Pulse,1692.789715
04-612,CHRYSOPHYTES,Bitrichia,0.4989633,Lake Pulse,1692.789715
04-612,GREEN ALGAE,Chlorolobion,0.1069207,Lake Pulse,1692.789715
04-612,CHRYSOPHYTES,Chrysosphaerella,11.35142,Lake Pulse,1692.789715
04-612,CRYPTOPHYTES,Cryptomonas,29.51012,Lake Pulse,1692.789715
04-612,DIATOMS,Cyclotella,4.0629868,Lake Pulse,1692.789715
04-612,CHRYSOPHYTES,Dinobryon,1.639451,Lake Pulse,1692.789715
04-612,DINOFLAGELLATES,Glenodinium,8.981339,Lake Pulse,1692.789715
04-612,GREEN ALGAE,Gloeocystis,6.1123,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Gomphosphaeria,112.2667,Lake Pulse,1692.789715
04-612,EUSTIGMATOPHYTES,Goniochloris,5.929644,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Limnococcus,191.6019,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Limnothrix,5.346035,Lake Pulse,1692.789715
04-612,DIATOMS,Lindavia,739.0359,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Microcystis,0.5702438,Lake Pulse,1692.789715
04-612,DIATOMS,Nitzschia,6.253733,Lake Pulse,1692.789715
04-612,CHRYSOPHYTES,Ochromonas,69.730127,Lake Pulse,1692.789715
04-612,GREEN ALGAE,Oocystis,27.99541,Lake Pulse,1692.789715
04-612,CYANOBACTERIA,Pseudanabaena,0.6682544,Lake Pulse,1692.789715
04-612,CRYPTOPHYTES,Rhodomonas,35.52886,Lake Pulse,1692.789715
04-612,OTHER,Stichogloea,31.18521,Lake Pulse,1692.789715
04-612,GREEN ALGAE,Tetradesmus,0.1247408,Lake Pulse,1692.789715
04-612,GREEN ALGAE,Tetraedron,5.929644,Lake Pulse,1692.789715
04-613,DIATOMS,Achnanthidium,0.3318308,Lake Pulse,378.9474723
04-613,DINOFLAGELLATES,Amphidinium,4.009527,Lake Pulse,378.9474723
04-613,DIATOMS,Amphipleura,15.9534,Lake Pulse,378.9474723
04-613,DINOFLAGELLATES,Biecheleria,3.274447,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Botryococcus,19.24573,Lake Pulse,378.9474723
04-613,CHRYSOPHYTES,Chrysosphaerella,22.23951,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Crucigenia,0.8553658,Lake Pulse,378.9474723
04-613,CRYPTOPHYTES,Cryptomonas,51.48565,Lake Pulse,378.9474723
04-613,DIATOMS,Cyclotella,48.13375,Lake Pulse,378.9474723
04-613,DIATOMS,Cymbella,2.784393,Lake Pulse,378.9474723
04-613,DIATOMS,Denticula,0.79767,Lake Pulse,378.9474723
04-613,CHRYSOPHYTES,Dinobryon,4.7479486,Lake Pulse,378.9474723
04-613,DIATOMS,Fragilaria,1.276272,Lake Pulse,378.9474723
04-613,DINOFLAGELLATES,Glenodinium,17.10731,Lake Pulse,378.9474723
04-613,DINOFLAGELLATES,Gymnodinium,21.65144,Lake Pulse,378.9474723
04-613,CRYPTOPHYTES,Katablepharis,1.764192,Lake Pulse,378.9474723
04-613,CYANOBACTERIA,Limnococcus,17.10731,Lake Pulse,378.9474723
04-613,CYANOBACTERIA,Limnothrix,7.517862,Lake Pulse,378.9474723
04-613,CHRYSOPHYTES,Mallomonas,5.41286,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Monoraphidium,1.10930227,Lake Pulse,378.9474723
04-613,DIATOMS,Navicula,7.9767,Lake Pulse,378.9474723
04-613,CHRYSOPHYTES,Ochromonas,46.443679,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Oocystis,13.5989783,Lake Pulse,378.9474723
04-613,OTHER,Pedinella,1.146057,Lake Pulse,378.9474723
04-613,DINOFLAGELLATES,Peridinium,43.30288,Lake Pulse,378.9474723
04-613,CRYPTOPHYTES,Rhodomonas,14.03334,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Tetradesmus,0.08019052,Lake Pulse,378.9474723
04-613,GREEN ALGAE,Tetraedron,1.710732,Lake Pulse,378.9474723
04-613,CHRYSOPHYTES,Uroglena,3.849145,Lake Pulse,378.9474723
04-614,DIATOMS,Achnanthidium,1.429425,Lake Pulse,1272.62416
04-614,CYANOBACTERIA,Aphanocapsa,461.8440148,Lake Pulse,1272.62416
04-614,GREEN ALGAE,Chlamydomonas,0.748445,Lake Pulse,1272.62416
04-614,GREEN ALGAE,Chlorolobion,0.6415243,Lake Pulse,1272.62416
04-614,GREEN ALGAE,Crucigenia,3.421463,Lake Pulse,1272.62416
04-614,DIATOMS,Cyclotella,10.02382,Lake Pulse,1272.62416
04-614,CHRYSOPHYTES,Dinobryon,10.26439,Lake Pulse,1272.62416
04-614,CYANOBACTERIA,Dolichospermum,42.768287,Lake Pulse,1272.62416
04-614,GREEN ALGAE,Elakatothrix,244.4709,Lake Pulse,1272.62416
