ID_lakepulse,bottle,date,comments,Comment_CP,genus ,species,division,tow length (m),net radius (cm),tow volume filtered (L),total sample volume (ml),aliquot (ml) ,count factor,#individuals counted,# / L  ,biomass factor (µg/ind),species biomass (µg d.w./L) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
 09-383 ,Zoop1+Zoop2,na,na,na,Acanthocyclops,robustus,Copepoda,2,10,47.12,230,0.76,6.42,5,24.083,5.727,137.918,0.97,0.85,0.77,0.88,0.80,0.00,0.00,0.00,0.00,0.00
 09-383 ,Zoop1+Zoop2,na,na,na,Aglaodiaptomus,leptopus,Copepoda,2,10,47.12,230,0.76,6.42,1,4.817,21.638,104.221,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-383 ,Zoop1+Zoop2,na,na,na,calanoid,copepodid,Copepoda,2,10,47.12,230,0.76,6.42,10,48.165,2.430,117.028,0.69,0.74,0.50,0.59,0.64,0.89,0.74,0.69,0.84,0.61
 09-383 ,Zoop1+Zoop2,na,na,na,cyclopoid,copepodid,Copepoda,2,10,47.12,230,0.76,6.42,204,982.570,2.434,2391.411,0.50,0.64,0.67,0.42,0.81,0.79,0.73,0.39,0.59,0.73
 09-383 ,Zoop1+Zoop2,na,na,na,Diacyclops,thomasi,Copepoda,2,10,47.12,230,0.76,6.42,10,48.165,2.369,114.109,0.85,1.14,0.81,0.84,1.04,1.25,0.94,1.06,0.91,1.10
 09-383 ,Zoop1+Zoop2,na,na,na,Leptodiaptomus,nudus,Copepoda,2,10,47.12,230,0.76,6.42,8,38.532,5.454,210.142,1.14,1.29,1.34,1.11,1.34,1.39,1.35,1.42,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,Bosmina,longirostris,Cladocera,2,10,62.83,104,12.0,0.14,92,12.690,0.399,5.066,0.20,0.24,0.20,0.24,0.30,0.28,0.20,0.23,0.26,0.22
 17-107 ,Zoop1,30-Aug-2017,NA,,Ceriodaphnia,spp.,Cladocera,2,10,62.83,104,12.0,0.14,28,3.862,0.565,2.181,0.26,0.27,0.28,0.28,0.46,0.26,0.41,0.32,0.28,0.43
 17-107 ,Zoop1,30-Aug-2017,NA,,Chydorus ,sphaericus,Cladocera,2,10,62.83,104,12.0,0.14,3,0.414,0.981,0.406,0.27,0.31,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,Diaphanosoma,brachyurum,Cladocera,2,10,62.83,104,12.0,0.14,19,2.621,0.262,0.686,0.36,0.32,0.43,0.41,0.46,0.57,0.32,0.26,0.44,0.48
 17-107 ,Zoop1,30-Aug-2017,NA,,Pleuroxus,procurvus ,Cladocera,2,10,62.83,104,12.0,0.14,1,0.138,0.799,0.110,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,Simocephalus ,spp.,Cladocera,2,10,62.83,104,12.0,0.14,1,0.138,0.296,0.041,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,ostracod,,Ostracoda,2,10,62.83,104,12.0,0.14,2,0.276,0.160,0.044,0.23,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,calanoid,copepodid,Copepoda,2,10,62.83,104,12.0,0.14,217,29.932,1.369,40.986,0.43,0.43,0.52,0.42,0.42,0.42,0.54,0.63,0.52,0.65
 17-107 ,Zoop1,30-Aug-2017,NA,,cyclopoid,copepodid,Copepoda,2,10,62.83,104,12.0,0.14,18,2.483,0.443,1.100,0.35,0.51,0.38,0.38,0.39,0.37,0.32,0.30,0.43,0.40
 17-107 ,Zoop1,30-Aug-2017,NA,,Leptodiaptomus,minutus,Copepoda,2,10,62.83,104,12.0,0.14,3,0.414,2.694,1.115,0.95,1.01,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,Mesocyclops,edax copepodid,Copepoda,2,10,62.83,104,12.0,0.14,2,0.276,5.016,1.384,0.84,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-107 ,Zoop1,30-Aug-2017,NA,,Skistodiaptomus,oregonensis,Copepoda,2,10,62.83,104,12.0,0.14,3,0.414,5.341,2.210,1.07,1.16,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Alona,sp.,Cladocera,2,10,62.83,118,9.0,0.10,5,1.043,0.472,0.493,0.28,0.37,0.27,0.29,0.30,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Bosmina,longirostris,Cladocera,2,10,62.83,118,9.0,0.10,85,17.737,0.440,7.796,0.21,0.30,0.32,0.21,0.20,0.25,0.25,0.26,0.20,0.25
 09-384 ,Zoop1,na,High algae.,na,Ceriodaphnia,spp.,Cladocera,2,10,62.83,118,9.0,0.10,4,0.835,0.824,0.688,0.34,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Chydorus ,sphaericus,Cladocera,2,10,62.83,118,9.0,0.10,24,5.008,0.639,3.199,0.24,0.18,0.28,0.25,0.17,0.20,0.30,0.22,0.28,0.32
 09-384 ,Zoop1,na,High algae.,na,Daphnia,pulicaria,Cladocera,2,10,62.83,118,9.0,0.10,15,3.130,24.685,77.265,0.81,1.34,1.49,0.99,0.86,1.73,0.91,1.49,1.37,1.58
 09-384 ,Zoop1,na,High algae.,na,Diaphanosoma,brachyurum,Cladocera,2,10,62.83,118,9.0,0.10,100,20.867,1.111,23.190,0.86,0.59,0.65,0.37,0.72,0.62,0.67,0.75,0.62,0.69
 09-384 ,Zoop1,na,High algae.,na,Acanthocyclops,robustus,Copepoda,2,10,62.83,118,9.0,0.10,1,0.209,6.383,1.332,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,calanoid,copepodid,Copepoda,2,10,62.83,118,9.0,0.10,36,7.512,1.751,13.156,0.52,0.42,0.64,0.41,0.45,0.50,0.43,0.51,1.02,0.71
 09-384 ,Zoop1,na,High algae.,na,cyclopoid,copepodid,Copepoda,2,10,62.83,118,9.0,0.10,202,42.151,1.051,44.302,0.59,0.38,0.42,0.36,0.40,0.54,0.40,0.44,0.77,0.44
 09-384 ,Zoop1,na,High algae.,na,Diacyclops,thomasi,Copepoda,2,10,62.83,118,9.0,0.10,1,0.209,1.459,0.304,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Hesperodiaptomus,arcticus,Copepoda,2,10,62.83,118,9.0,0.10,2,0.417,26.107,10.895,1.83,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Leptodiaptomus,nudus,Copepoda,2,10,62.83,118,9.0,0.10,22,4.591,5.414,24.852,1.24,1.29,1.37,1.29,1.22,1.39,1.36,1.27,1.31,1.24
 09-384 ,Zoop1,na,High algae.,na,Mesocyclops,edax,Copepoda,2,10,62.83,118,9.0,0.10,3,0.626,15.134,9.474,1.39,1.44,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-384 ,Zoop1,na,High algae.,na,Hydracarina,,Utermöhl Chamber,2,10,62.83,118,9.0,0.10,2,0.417,,,,,,,,,,,,
 09-409 ,Zoop1,na,na,na,Daphnia,magna,Cladocera,2.1,10,65.97,116,2.4,0.73,14,10.257,15.337,157.309,0.82,1.15,1.18,0.88,1.93,1.71,0.99,1.08,1.19,1.88
 09-409 ,Zoop1,na,na,na,Daphnia,pulicaria,Cladocera,2.1,10,65.97,116,2.4,0.73,231,169.234,16.617,2812.240,1.03,1.02,0.85,1.05,1.02,1.01,1.14,1.01,1.80,0.91
 09-409 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,2.1,10,65.97,116,2.4,0.73,81,59.342,1.685,99.972,0.75,0.60,0.42,0.34,0.37,0.47,0.38,0.91,0.77,0.44
 09-409 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,2.1,10,65.97,116,2.4,0.73,11,8.059,0.808,6.511,0.57,0.54,0.30,0.35,0.50,0.42,0.50,0.53,0.38,0.42
 09-409 ,Zoop1,na,na,na,Diacyclops,thomasi,Copepoda,2.1,10,65.97,116,2.4,0.73,2,1.465,4.285,6.278,0.98,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-409 ,Zoop1,na,na,na,Leptodiaptomus,siciloides,Copepoda,2.1,10,65.97,116,2.4,0.73,24,17.583,4.153,73.028,1.26,1.27,1.03,1.09,0.93,1.36,1.16,1.13,1.11,1.23
 09-409 ,Zoop1,na,na,na,Mesocyclops,edax,Copepoda,2.1,10,65.97,116,2.4,0.73,3,2.198,22.023,48.403,1.81,0.91,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-409 ,Zoop1,na,na,na,Chaoborus,spp.,Utermöhl Chamber,2.1,10,65.97,116,2.4,0.73,1,0.733,,,,,,,,,,,,
 09-409 ,Zoop1,na,na,na,Hydracarina,,Large Taxa Scan,2.1,10,65.97,116,116.0,0.02,20,0.303,,,,,,,,,,,,
 10-443 ,Zoop1,na,na,na,Bosmina,longirostris,Cladocera,2.2,10,69.12,116,4.0,0.42,227,95.247,0.418,39.782,0.22,0.28,0.22,0.24,0.22,0.22,0.27,0.23,0.28,0.25
 10-443 ,Zoop1,na,na,na,Daphnia,spp.,Cladocera,2.2,10,69.12,116,4.0,0.42,10,4.196,3.043,12.766,0.35,0.62,0.61,0.73,0.45,0.64,0.51,0.54,0.62,0.69
 10-443 ,Zoop1,na,na,na,Diaphanosoma,birgei,Cladocera,2.2,10,69.12,116,4.0,0.42,86,36.085,1.272,45.901,0.74,0.79,0.59,0.44,0.51,0.57,0.84,0.73,0.81,0.79
 10-443 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,2.2,10,69.12,116,4.0,0.42,168,70.491,1.757,123.870,0.45,0.37,0.59,0.57,0.57,0.86,0.40,0.85,0.38,0.59
 10-443 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,2.2,10,69.12,116,4.0,0.42,140,58.743,2.909,170.856,0.57,0.96,0.56,0.73,0.57,0.48,0.60,0.65,0.89,0.58
 10-443 ,Zoop1,na,na,na,Leptodiaptomus,siciloides,Copepoda,2.2,10,69.12,116,4.0,0.42,182,76.365,3.735,285.195,1.11,1.08,1.13,0.97,1.15,1.31,0.96,0.93,1.11,1.31
 10-443 ,Zoop1,na,na,na,Mesocyclops,edax,Copepoda,2.2,10,69.12,116,4.0,0.42,16,6.713,5.454,36.618,0.97,1.01,1.02,1.02,1.22,0.94,0.94,0.92,0.98,0.97
 06-291 ,Zoop1,na,High algae. Low abundance. Unable to meet tally.,na,ostracod,,Ostracoda,2.4,10,75.40,126,126.0,0.01,1,0.013,0.900,0.012,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 06-291 ,Zoop1,na,High algae. Low abundance. Unable to meet tally.,na,cyclopoid,copepodid,Copepoda,2.4,10,75.40,126,126.0,0.01,2,0.027,0.406,0.011,0.27,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-296 ,Zoop1,na,na,na,Chydorus ,sphaericus,Cladocera,2.5,10,78.54,120,0.3,5.09,17,86.580,0.603,52.248,0.18,0.27,0.27,0.21,0.24,0.27,0.23,0.27,0.30,0.22
 09-296 ,Zoop1,na,na,na,Daphnia,pulicaria,Cladocera,2.5,10,78.54,120,0.3,5.09,37,188.439,12.061,2272.819,1.02,1.01,0.83,1.00,0.84,1.11,0.99,0.71,1.26,1.09
 09-296 ,Zoop1,na,na,na,Diaphanosoma,birgei,Cladocera,2.5,10,78.54,120,0.3,5.09,48,244.461,1.711,418.226,0.90,0.43,0.81,0.74,1.03,0.77,0.52,0.77,0.92,0.38
 09-296 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,2.5,10,78.54,120,0.3,5.09,318,1619.557,3.127,5064.323,0.79,0.92,0.77,0.78,0.80,0.70,0.64,0.97,0.82,0.87
 09-296 ,Zoop1,na,na,na,Leptodiaptomus,sicilis,Copepoda,2.5,10,78.54,120,0.3,5.09,45,229.183,5.269,1207.591,1.30,1.37,1.26,1.32,1.41,1.26,1.22,1.28,1.19,1.22
 09-296 ,Zoop1,na,na,na,Hydracarina,,Large Taxa Scan,2.5,10,78.54,120,120.0,0.01,2,0.025,,,,,,,,,,,,
 10-417 ,Zoop1,na,High algae.,na,Ceriodaphnia,spp.,Cladocera,2.5,10,78.54,110,0.7,2.00,217,434.174,1.800,781.438,0.55,0.50,0.49,0.42,0.43,0.51,0.47,0.55,0.45,0.50
 10-417 ,Zoop1,na,High algae.,na,Daphnia,pulicaria,Cladocera,2.5,10,78.54,110,0.7,2.00,53,106.042,30.487,3232.949,1.12,1.10,1.76,1.32,1.64,1.72,1.79,0.85,1.19,1.22
