Lake_ID,altitude,area,perimeter,latitude,longitude,lake_depth,secchi_bottom,Survey,secchi_depth,Sodium,Calcium,Magnesium,Chloride,Potassium,Sulfate,Temperature_up,Temperature_bottom,DO_up,DO_bottom,pH_up,pH_bottom,Conductivity,Chla,TP,TN,DOC,Colour,Stratification,Thermocline_m,Epilimnion_bot,Hypolimnion_top,wind_30d,t2m_30d,ssr_30d,tp_30d,degree_day_thr0,Biom_Cladocera_ugL,Biom_Copepoda_ugL,Biom_OTHER_ugL,Biom_CladOther_ugL,Biom_CopCal_ugL,Biom_CopCyc_ugL,Biom_CopOther_ugL,Biom_Daphnia_ugL,Ecoregion
07-008,9,1.48072,13622.8,45.931138,-64.368213,2.55,No,Lake Pulse,1.84,8.6495,6.287,1.105,11.85148148,0.809,4.113235294,19.99702,NA,9.040363,NA,7.3,NA,0.079372,3.551193,22.28081721,0.204180527,7.3125,44.76295226,mixed,NA,NA,NA,2.395699209,19.09055658,18371271.83,0.051553125,4678.402824,23.62789115,41.34198487,0,22.6182428,0,41.34198487,0,1.009648346,EASTERN TEMPERATE FORESTS
07-009,174,7.538296,47060.4,44.930654,-64.418764,12,No,Lake Pulse,2.14,2.524,1.0125,0.395,3.111481481,0.3185,1.013235294,22.063319,16.539151,9.08788,2.425773,6.28,5.64,0.023584,6.182466,13.33342029,0.155401027,6.76,77.90459618,stratified,8.895203365,6.020434786,10.45,1.991012736,18.65107115,17709039.44,0.061660203,5056.382806,155.8422336,19.91552582,0,0.319137771,5.503764995,14.41176083,0,155.5230958,NORTHERN FORESTS
07-010,190,22.033073,80556.6,44.953072,-64.563372,12.4,No,Lake Pulse,3.225,2.6545,0.8975,0.385,3.501481481,0.3265,1.103235294,21.36674,20.865354,9.438461,8.801482,6.28,NA,0.023154,4.813244,12.65124953,0.097795527,5.12,42.07805958,mixed,NA,NA,NA,1.968696605,18.59928915,17943358.04,0.050439493,4990.690295,1.715772396,0.29232329,0,1.715772396,0.082078454,0.210244836,0,0,NORTHERN FORESTS
07-011,74,1.038049,8080.8,44.373332,-64.574322,6.1,No,Lake Pulse,5.87,6.907,2.0665,0.97,10.13148148,0.975,3.668235294,22.747537,22.646818,9.117123,9.136809,6.85,NA,0.057514,1.567282,8.195590277,0.141169027,3.1675,12.34562803,mixed,NA,NA,NA,2.311940726,19.09325168,16900051.36,0.082927897,5205.371382,87.18688095,12.71192087,0,2.538376875,0.636722144,12.07519872,0,84.64850408,NORTHERN FORESTS
07-013,219,0.142108,1805.7,44.845846,-64.598487,2.05,Yes,Lake Pulse,NA,2.3815,1.1505,0.415,2.161481481,0.3965,1.193235294,22.026265,NA,8.8171,NA,6.48,NA,0.022846,3.187881,11.25401455,0.162067527,6.2825,38.72144816,mixed,NA,NA,NA,2.022066734,18.70222044,16932599.81,0.071997422,5192.411369,15.56237449,11.72578053,0,15.41712605,1.624319728,10.10146081,0,0.145248443,NORTHERN FORESTS
07-014,199,0.348926,3566.3,45.017746,-64.589997,2.95,Yes,Lake Pulse,NA,3.2765,1.629,0.65,4.361481481,0.3855,1.543235294,21.387427,NA,9.448744,NA,6.92,NA,0.031082,2.015892,7.84960518,0.125646527,4.0325,16.37058043,mixed,NA,NA,NA,2.038491093,18.82062588,17846393.92,0.046739318,4817.896258,1.269913106,24.68016457,0,1.269913106,24.06401257,0.616151999,0,0,NA
07-015,67,0.964773,8723.1,44.259495,-64.610661,2.9,Yes,Lake Pulse,NA,7.0925,1.14,0.6,10.28148148,0.348,2.268235294,21.932004,NA,9.411934,NA,6.61,NA,0.050073,1.617134,11.04342983,0.101245027,3.2325,16.99109368,mixed,NA,NA,NA,2.326361764,19.24276482,17666347.97,0.0891021,5349.617276,4.74991208,108.3327953,0,3.50529647,108.1312551,0.201540226,0,1.244615609,NORTHERN FORESTS
07-016,80,0.184764,2105,46.036878,-64.64533,2.35,No,Lake Pulse,0.475,15.405,2.462,0.48,20.71148148,0.573,1.228235294,21.408843,NA,8.623226,NA,NA,NA,0.089162,146.04655,49.67715044,0.290282027,NA,194.9697468,mixed,NA,NA,NA,2.300657404,19.31034589,18142630.28,0.037670438,4830.963207,6.058059696,136.9727342,0,0.656474938,103.7322709,33.2404633,0,5.401584757,EASTERN TEMPERATE FORESTS
07-019,76,2.793244,12577.6,44.525535,-64.54906,43.8,No,Lake Pulse,NA,3.3205,1.234,0.44,1.701481481,0.23,1.278235294,22.460475,5.670193,9.68323,12.442468,6.91,6.23,0.030091,0.870678,3.694458525,0.058951527,1.97,7.131135233,stratified,7.821851317,7.205274851,11.88368619,2.366610515,19.03512308,17226035.49,0.085153883,5265.585383,7.883237825,33.93601303,0,0.13232459,8.584360017,25.35165302,0,7.750913235,NORTHERN FORESTS
07-020,9,0.153174,4033.2,47.58432,-64.955436,2.8,No,Lake Pulse,1.825,5.4685,9.88,3.105,5.471481481,0.8855,4.253235294,NA,NA,NA,NA,NA,NA,NA,NA,34.69702332,0.050417027,3.5675,24.12283984,NA,NA,NA,NA,4.258972579,18.15672973,18672579.7,0.088259524,4096.440297,178.7425772,1.839533907,0,178.7425772,0,1.839533907,0,0,EASTERN TEMPERATE FORESTS
07-021,47,0.177884,2474.6,46.636229,-65.117947,1,No,Lake Pulse,0.645,1.426,0.203,0.16,1.021481481,0.1735,0.498235294,22.082894,NA,9.179321,NA,NA,NA,0.018412,6.529997,35.40178096,0.230026027,13.255,158.7869879,mixed,NA,NA,NA,2.437707511,19.87711907,19457315.39,0.028651422,5111.179371,9.466539618,41.4831711,0,9.466539618,40.12343536,1.359735743,0,0,EASTERN TEMPERATE FORESTS
07-022,144,14.535363,63631.3,44.496459,-65.471246,6.3,No,Lake Pulse,1.33,3.2415,0.6055,0.405,4.501481481,0.2885,1.528235294,21.440873,21.16621,9.09173,9.059874,5.54,NA,0.026123,3.605443,15.74492983,0.172370527,6.6675,77.14947011,mixed,NA,NA,NA,2.113070491,18.83116473,18221518.66,0.047892586,4825.949648,15.91502974,49.48594105,0,9.052486358,48.12777787,1.358163174,0,6.862543381,NORTHERN FORESTS
07-023,7,0.605484,4048.1,43.603816,-65.527065,1.45,No,Lake Pulse,0.45,4.9825,0.6015,0.47,6.551481481,0.23,1.243235294,20.641545,NA,9.449264,NA,NA,NA,0.038777,9.483132,23.1707193,0.147728027,20.2925,338.7804201,mixed,NA,NA,NA,3.181796968,17.62867748,17374335.34,0.100926293,4552.09716,43.46354019,85.31761646,0,43.46354019,41.34689834,43.97071813,0,0,NORTHERN FORESTS
07-024,11,1.570814,7877.7,43.612856,-65.573869,1.82,No,Lake Pulse,1.115,4.367,0.455,0.48,6.111481481,0.239,2.098235294,NA,NA,NA,NA,NA,NA,NA,NA,12.68151197,0.137765027,6.7325,73.87725717,NA,NA,NA,NA,3.231672876,17.59838763,16911027,0.120721077,4571.888887,1.651310065,0.169268323,0,1.651310065,0.025410322,0.143858001,0,0,NORTHERN FORESTS
07-025,31,5.581614,28702.9,43.639494,-65.707216,4.8,No,Lake Pulse,0.56,5.622,0.552,0.59,8.091481481,0.314,1.963235294,21.614046,20.632028,9.399153,9.193849,NA,NA,0.047326,5.392603,16.7050499,0.706828527,16.0425,253.932872,stratified,2.204733142,1.894123505,2.3706232,3.376089721,17.27277575,16936853.82,0.119346617,4517.067164,22.62678988,17.47830282,0,22.11507579,14.21784629,3.260456535,0,0.511714087,NORTHERN FORESTS
07-026,66,0.832092,5341.9,46.89332,-65.727509,1.55,Yes,Lake Pulse,NA,0.71,0.54,0.17,0.081481481,0.14,0.758235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072547027,5.3,NA,NA,NA,NA,NA,2.472808444,18.73270034,17593257.77,0.062755935,4224.164513,NA,NA,NA,NA,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS
07-028,86,0.493994,4088.8,44.448946,-65.861249,5.75,No,Lake Pulse,4.85,4.08,1.35,0.76,6.831481481,0.35,1.748235294,22.039899,22.047169,9.361962,9.415705,6.83,NA,0.038816,1.453885,39.28906827,0.063876527,3.3525,9.910042539,mixed,NA,NA,NA,3.189066303,17.97108042,16825341.3,0.073130233,4921.797092,18.45358506,60.69168737,0,18.0123358,52.63933106,8.052356318,0,0.441249261,NORTHERN FORESTS
07-029,37,0.24665,2688,45.415706,-65.96754,11.7,No,Lake Pulse,2.95,37.825,36.265,3.25,66.15148148,1.113,5.408235294,23.210814,5.579576,9.593017,0.104554,8.05,7.09,0.384474,5.930681,10.92211333,0.389636027,6.81,24.12283984,stratified,4.392830928,2.950455497,7.197520973,2.215521348,18.56464275,19469744.36,0.019276964,4558.946198,0.18663327,0.491764979,0,0.18663327,0.229541682,0.262223298,0,0,EASTERN TEMPERATE FORESTS
07-030,37,0.10423,1563.4,45.290432,-66.057534,7,No,Lake Pulse,3.45,28.895,24.17,4.375,43.15148148,0.9275,7.088235294,23.130673,16.115576,9.942933,11.317407,NA,NA,0.29433,1.973301,10.05623375,0.291488527,4.4325,9.216228908,stratified,4.397114842,2.770038284,5.45,2.73417509,17.66286039,20093736.1,0.020835538,4314.948038,22.15393889,41.36843432,0,5.102699032,32.12143342,9.21088377,0.036117129,17.05123986,EASTERN TEMPERATE FORESTS
07-031,53,0.110851,1625.8,44.273871,-66.075345,2.85,Yes,Lake Pulse,NA,15.11,5.53,1.69,25.54148148,1.46,1.883235294,22.427906,NA,9.603184,NA,7.59,NA,0.127872,2.854939,13.27196361,0.162651527,5.5575,22.38939714,mixed,NA,NA,NA,3.180193586,17.83709048,17123046.13,0.075931574,4847.953049,13.76362061,54.40675341,0,12.02017198,47.91075174,6.496001669,0,1.743448633,NORTHERN FORESTS
07-032,29,0.536435,4914.5,44.193053,-66.103988,3.23,Yes,Lake Pulse,NA,8.87,2.68,1.15,15.19148148,0.63,2.943235294,21.225606,NA,9.166293,NA,6.93,NA,0.073178,146.046903,11.38514794,0.788581027,5.6425,32.26142075,mixed,NA,NA,NA,3.016759506,17.81296822,16997878.39,0.079965455,4789.470458,240.0542478,44.10725383,0,9.120405662,34.36542015,9.741833684,0,230.9338422,NORTHERN FORESTS
07-033,270,0.301346,2799.7,46.416483,-66.943837,1.65,No,Lake Pulse,1.385,3.8725,2.8225,0.455,4.561481481,0.204,2.418235294,20.82644,NA,8.606421,NA,6.58,NA,0.037038,4.713771,16.51464127,0.297665027,5.955,56.82232171,mixed,NA,NA,NA,2.126531797,18.3739799,19333873.14,0.035470471,4725.286429,3.875986448,1.943206252,0,3.875986448,1.193549493,0.749656759,0,0,NA
07-035,323,0.750216,5336,46.852777,-66.361613,5.8,No,Lake Pulse,2.1,1.036,1.6645,0.37,0.75,0.2395,1.473235294,21.95732,21.900382,8.32703,8.337456,7.15,NA,0.01802,3.676132,14.50920562,0.152636527,23.91,15.56670068,mixed,NA,NA,NA,2.336372831,18.28620985,18703069.27,0.082760404,4555.920076,21.7625469,170.0955428,0,21.7625469,51.57299129,118.5225515,0,0,EASTERN TEMPERATE FORESTS
07-037,174,0.724355,3521.2,45.448897,-66.47072,3.95,No,Lake Pulse,2.24,2.5825,0.7775,0.215,2.761481481,0.1665,1.288235294,22.610004,NA,9.2378,NA,6.09,NA,0.020992,2.097405,9.675139667,0.102824027,4.3925,16.26986249,mixed,NA,NA,NA,2.081980666,18.76482576,18630478.65,0.027629847,4858.674833,6.990664618,35.80580722,0,0.245442954,32.79111063,3.014696587,0,6.745221664,EASTERN TEMPERATE FORESTS
07-040,68,3.104366,15553.9,45.324348,-66.774486,4.1,No,Lake Pulse,3.06,1.81,2.68,0.48,1.301481481,0.3,1.588235294,21.162719,NA,9.177697,NA,6.97,NA,0.026986,3.092472,36.26183688,0.095681027,6.155,47.19613624,mixed,NA,NA,NA,2.285103038,19.02181065,16828596.14,0.061027312,5578.660773,6.089004941,12.59018066,0,6.089004941,2.481894856,10.10828581,0,0,EASTERN TEMPERATE FORESTS
07-046,115,41.646112,51736.9,45.586373,-67.003961,13.5,No,Lake Pulse,NA,1.41,2.21,0.37,1.361481481,0.27,1.068235294,20.896417,20.462766,9.764797,9.539185,7.21,NA,0.022056,1.290987,29.56907595,0.068460527,3.315,12.67518594,mixed,NA,NA,NA,2.33932146,19.23632992,16818740.77,0.051360062,5613.511985,1.509702389,0.299426986,0,1.509702389,0,0.299426986,0,0,EASTERN TEMPERATE FORESTS
07-047,116,26.997892,58217.7,45.716645,-67.20662,9.5,No,Lake Pulse,3.875,1.07,2.85,0.39,0.441481481,0.28,1.083235294,20.67044,20.043136,9.78961,9.33392,7.22,NA,0.021883,3.351096,30.30969088,0.148418027,6.7075,51.93854985,mixed,NA,NA,NA,2.340987784,19.13738366,16542760.15,0.048430863,5579.659302,2.895519011,9.29056921,0,2.814221595,0.864366995,8.426202215,0,0.081297417,EASTERN TEMPERATE FORESTS
07-049,122,0.177654,2358.5,46.897616,-67.432087,2.4,No,Lake Pulse,1.9,8.958,35.14,2.23,16.81,0.531,1.393235294,23.326633,NA,8.278983,NA,7.88,NA,0.227936,8.048298,14.74768686,0.025,8.64,39.81268139,stratified,1.710220446,1.382851358,2.45,2.322747216,18.07315339,17055103.12,0.113536806,4274.598202,43.06789916,103.0738416,0,43.06789916,0,103.0738416,0,0,EASTERN TEMPERATE FORESTS
07-051,226,0.104791,2027.9,46.950127,-67.537914,0.9,Yes,Lake Pulse,NA,4.6675,12.3,1.39,4.62,0.4165,1.403235294,22.977356,NA,8.216171,NA,7.85,NA,0.092294,NA,15.87103823,NA,8.2025,42.83318565,mixed,NA,NA,NA,2.445287588,17.7275416,16416169.36,0.121618632,4271.097332,NA,NA,NA,NA,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS
07-052,141,2.101855,7233.9,45.93731,-67.158731,7.15,No,Lake Pulse,4.64,2.3,4.23,0.54,2.561481481,0.29,1.358235294,20.528936,19.987543,9.979168,9.304748,7.55,NA,0.036769,2.266206,13.9404818,0.179563527,3.51,9.654110617,mixed,NA,NA,NA,2.222040654,19.09446313,16156478.1,0.051899617,5630.044082,23.5399669,28.03332984,0,16.3522322,22.39305079,5.640279051,0,7.187734705,EASTERN TEMPERATE FORESTS
07-055,193,0.154375,2182.2,46.921096,-67.65543,1.8,No,Lake Pulse,1.45,2.5495,28.72,3.345,5.07,0.2895,3.003235294,23.432658,NA,10.034964,NA,8.54,NA,0.175955,3.834685,15.67919931,NA,4.425,9.093194473,mixed,NA,NA,NA,2.482002977,17.60655754,16578654.28,0.122008595,4278.49312,44.48195106,208.3582225,0,44.48195106,201.4704253,6.887797215,0,0,EASTERN TEMPERATE FORESTS
07-057,174,0.243147,3176.8,46.936727,-67.758306,1.3,Yes,Lake Pulse,NA,2.0935,39.115,3.705,4.73,0.5215,8.358235294,21.444336,NA,11.38489,NA,8.79,NA,0.215945,2.611755,14.75945,0.340453527,6.165,29.40872229,mixed,NA,NA,NA,2.598252966,17.43090021,16218501.84,0.120865555,4294.83814,NA,NA,NA,NA,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS
07-222,65,1.253929,10242.3,45.710947,-63.710239,7.68,No,Lake Pulse,2.255,8.33384375,3.830628571,0.907,16.50435484,0.826903226,1.728484848,19.070109,17.999001,8.497553,7.926814,NA,NA,0.067998,NA,16.56842134,NA,4.4775,26.14063237,stratified,4.009222783,3.941099186,4.094055267,3.798287882,13.06379714,18327095.4,0.152820108,3161.153072,2.827902511,31.33689908,0,1.577948565,24.47849372,6.858405357,0,1.249953947,EASTERN TEMPERATE FORESTS
07-224,182,0.865181,7600.8,45.537496,-63.544962,32,No,Lake Pulse,9.8,7.56084375,1.334628571,0.416,13.09935484,0.216903226,1.988484848,18.032253,6.095444,8.708179,7.108171,NA,NA,0.049006,0.852475,12.6173556,0.025,1.7075,9.262487274,stratified,13.42376967,2.794673965,17.27890458,2.848715837,12.7107359,17380609.29,0.131559134,3644.462865,34.04255648,75.14871571,0,0.02233627,45.63166312,29.51705258,0,34.02022021,NORTHERN FORESTS
07-225,10,0.116738,1681.4,45.385397,-63.560296,2.35,Yes,Lake Pulse,NA,2.82584375,0.378628571,0.365,5.494354839,0.453903226,1.853484848,22.888668,NA,8.418814,NA,6.27,NA,0.026696,NA,20.54180949,0.08883747,2.52,12.43561527,mixed,NA,NA,NA,2.700340104,13.81420319,19084187.21,0.126150884,3791.525185,99.64865505,81.78072645,0,29.87545228,81.78072645,0,0,69.77320277,EASTERN TEMPERATE FORESTS
04-572,8,0.522719,5957,67.332779,-134.844522,5.5,No,Lake Pulse,2.6,2.5565625,16.11790909,8.461363636,1.2315,0.687142857,17.55,19.28334,18.419243,10.557748,9.458937,NA,NA,0.135923,2.025802,17.95,0.206665365,8.455,21.36451239,stratified,4.323323976,3.835601688,4.65,1.609645354,16.44136003,16879466.74,0.034304686,4484.59879,11.52324461,15.77147732,0,6.892694057,15.32280526,0.448672061,0,4.630550548,TAIGA
04-573,13,0.791204,10769.7,67.34958,-134.923101,3.6,No,Lake Pulse,1.1,7.1065625,17.56790909,7.577363636,0.6315,1.697142857,48.18,14.310053,NA,8.565046,NA,8.3,NA,0.145819,3.836998,23.15,0.255755865,17.4275,101.3122456,mixed,NA,NA,NA,1.642966518,15.64934539,15629561.43,0.041098125,4640.344475,6.619734171,8.428589337,0,4.262077658,4.717103425,3.711485912,0,2.357656513,TAIGA
04-575,65,0.241822,1874.8,67.381817,-134.040849,1.4,Yes,Lake Pulse,NA,3.7365625,23.19790909,7.926363636,13.2315,0.347142857,7.22,17.334883,NA,8.4238,NA,8.11,NA,0.15865,4.031007,20.91,0.612972365,18.4625,35.38974023,mixed,NA,NA,NA,2.123822399,16.89670841,17698409.28,0.023495506,4588.577623,1.496639748,43.72382288,0,0.100600862,27.86609702,15.85772586,0,1.396038886,TAIGA
04-578,4,0.22105,2572.6,68.350907,-133.708655,4.4,No,Lake Pulse,1.9,11.7065625,43.12790909,14.43236364,35.5115,1.527142857,98.53,16.975888,16.139157,9.513354,9.401408,8.1,NA,0.313749,3.876425,22.73,0.170274365,10.905,35.15313406,stratified,3.587603783,2.841938183,3.75,2.733934838,14.8625283,17613678.07,0.032899177,4065.584047,2.717340169,1.464468523,0,2.170369547,0.316327715,1.148140808,0,0.546970622,TAIGA
04-580,39,0.73233,4300,67.46993,-134.72108,1,Yes,Lake Pulse,NA,7.2365625,11.45790909,4.310363636,17.7415,0.477142857,78.24,17.131734,NA,9.462984,NA,NA,NA,0.103533,2.998697,30.35,0.456261865,13.455,20.54064113,mixed,NA,NA,NA,1.665735109,16.38401937,16979537.6,0.031614139,4499.378372,19.93856479,225.8415808,0,12.81911094,220.2904494,5.551131401,0,7.119453852,TAIGA
04-581,10,0.397939,5712.1,67.432054,-134.851562,3.9,No,Lake Pulse,2.4,4.1465625,24.86790909,9.222363636,11.9115,0.857142857,199.48,19.231444,19.152851,9.800621,9.87807,NA,NA,0.183873,3.676014,23.54,0.263511365,10.1,31.9266482,stratified,3.2,2.851814978,3.25,1.578519343,16.19884258,16530722.17,0.033130723,4472.0135,5.400433826,9.642508124,0,4.541383975,7.618737745,2.023770379,0,0.859049851,TAIGA
04-583,39,0.266181,2676.7,67.442962,-134.511877,6.3,No,Lake Pulse,2.55,1.6865625,12.19790909,3.309363636,5.9615,0.637142857,32.87,17.650959,17.243031,8.952627,8.928113,8.43,NA,0.077664,3.371451,17.41,0.264763865,12.5125,37.98415421,stratified,4.907063651,4.713410862,5.09608234,1.85672267,16.69546448,17308860.67,0.027675295,4552.566908,13.99585205,39.4962294,0,13.99585205,29.82144511,9.67478429,0,0,TAIGA
04-609,249,2.539551,6496.9,60.836026,-116.656975,2,No,Lake Pulse,1.75,4.5465625,35.04790909,9.090363636,2.7915,1.097142857,0.22,17.775856,NA,9.196503,NA,8.36,NA,0.20285,2.362989,17.46,0.626484865,27.27,19.10308406,mixed,NA,NA,NA,2.359739348,16.9002249,17295975.95,0.06447914,5035.745392,2.305570808,4.876422462,0,2.266887535,3.723790823,1.152631639,0,0.038683273,TAIGA
04-611,286,0.417719,4614.2,60.063822,-116.847789,1,Yes,Lake Pulse,NA,23.2465625,58.02790909,23.75236364,9.8215,1.847142857,104.58,23.557474,NA,12.027138,NA,9.44,NA,0.512612,5.93748,58.93,0.677368865,50.12,76.11998158,mixed,NA,NA,NA,2.016981796,17.0044799,17972576.44,0.04529073,4910.495631,NA,NA,NA,NA,NA,NA,NA,NA,TAIGA
04-612,215,0.696052,3913,60.721344,-114.996196,3.6,No,Lake Pulse,2.45,4.4265625,48.74790909,16.38236364,7.2415,1.167142857,36.61,21.139437,20.963469,8.874219,8.857501,8.8,NA,0.330856,1.561236,11.91,0.639349865,21.445,19.24951859,mixed,NA,NA,NA,2.247168223,16.81280534,18036593.32,0.063062523,5064.235586,18.82044485,12.90385765,0.003163988,1.319229376,11.09583017,1.808027481,0,17.50121547,TAIGA
04-614,260,0.196621,1640.2,60.53671,-114.568217,1.8,No,Lake Pulse,0.85,1.5965625,28.73790909,8.632363636,1.1615,0.637142857,0.02,19.655999,NA,8.442497,NA,8.17,NA,0.166779,6.230715,32.56,0.548678865,41.52,60.5620174,mixed,NA,NA,NA,2.067260466,16.08924061,17628058.99,0.065887212,4976.871212,0,112.1374625,0,0,110.9922708,1.145191697,0,0,TAIGA
04-615,266,2.961035,14215.6,59.534902,-112.216745,21.5,No,Lake Pulse,5.45,12.9965625,16.36790909,89.68236364,5.0115,9.027142857,14.37,19.723814,4.731908,9.426594,NA,8.91,8.47,0.626698,1.116829,11.45,0.292585365,9.47,1.21113029,stratified,8.087250608,5.263206394,10.98002998,1.970148676,16.98493896,18505266.05,0.052949689,5211.921541,1.537529802,7.894627784,0,1.537529802,6.070383784,1.824244,0,0,TAIGA
04-616,208,0.412268,3523.9,59.944209,-111.853586,1.2,Yes,Lake Pulse,NA,7.9965625,34.69790909,28.47236364,7.4415,1.167142857,0.02,19.262495,NA,7.780494,NA,8.04,NA,0.345266,7.495526,31.6,0.605294865,35.045,20.46024492,mixed,NA,NA,NA,1.913089364,17.3994423,18257420.34,0.048100895,5211.864251,2.82215389,68.6547387,0,2.82215389,67.47625085,1.178487846,0,0,TAIGA
04-617,274,0.327378,2244.2,60.596644,-116.262865,0.7,Yes,Lake Pulse,NA,6.1665625,43.49790909,10.44236364,2.1215,0.777142857,0.15,18.61233931,NA,9.693481,NA,8.55,NA,0.242487564,5.210647851,25.22,NA,32.17,81.97346712,mixed,NA,NA,NA,1.900087865,17.59321001,18617335.54,0.060827378,5219.332726,0.303556747,3.917016203,0.03514213,0.05566874,0,3.917016203,0,0.247888007,TAIGA
